Architecture,epoch,train_loss,valid_loss,train_acc,valid_acc,train_SE,valid_SE,train_SP,valid_SP,train_PC,valid_PC,train_JS,valid_JS,train_DC,valid_DC,lr,best_epoch,num_epochs,batch_size,augmentation_prob,pretrained,weight_decay,number_layers_freeze
TernausNet16,17,0.22135351966409123,0.25907525452543656,"tensor(0.9884, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.3098, device='cuda:0')","tensor(0.2250, device='cuda:0')","tensor(0.9967, device='cuda:0')","tensor(0.9980, device='cuda:0')","tensor(0.5008, device='cuda:0')","tensor(0.4804, device='cuda:0')","tensor(0.2357, device='cuda:0')","tensor(0.1845, device='cuda:0')","tensor(0.3587, device='cuda:0')","tensor(0.2907, device='cuda:0')",0.00021999999999999993,16,50,32,0.5,True,0.0,0
TernausNet16,18,0.22520149799955994,0.2227960524426726,"tensor(0.9884, device='cuda:0')","tensor(0.9907, device='cuda:0')","tensor(0.3046, device='cuda:0')","tensor(0.2688, device='cuda:0')","tensor(0.9967, device='cuda:0')","tensor(0.9976, device='cuda:0')","tensor(0.4992, device='cuda:0')","tensor(0.4990, device='cuda:0')","tensor(0.2326, device='cuda:0')","tensor(0.2146, device='cuda:0')","tensor(0.3542, device='cuda:0')","tensor(0.3330, device='cuda:0')",0.0001800000000000001,18,50,32,0.5,True,0.0,0
TernausNet16,19,0.2142187011141737,0.22830897159829502,"tensor(0.9886, device='cuda:0')","tensor(0.9905, device='cuda:0')","tensor(0.3150, device='cuda:0')","tensor(0.2832, device='cuda:0')","tensor(0.9967, device='cuda:0')","tensor(0.9973, device='cuda:0')","tensor(0.5044, device='cuda:0')","tensor(0.4863, device='cuda:0')","tensor(0.2416, device='cuda:0')","tensor(0.2201, device='cuda:0')","tensor(0.3657, device='cuda:0')","tensor(0.3399, device='cuda:0')",0.00014000000000000004,18,50,32,0.5,True,0.0,0
TernausNet16,20,0.21137026313974075,0.23835099246734875,"tensor(0.9886, device='cuda:0')","tensor(0.9903, device='cuda:0')","tensor(0.3081, device='cuda:0')","tensor(0.3149, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.9967, device='cuda:0')","tensor(0.5127, device='cuda:0')","tensor(0.4642, device='cuda:0')","tensor(0.2392, device='cuda:0')","tensor(0.2337, device='cuda:0')","tensor(0.3633, device='cuda:0')","tensor(0.3574, device='cuda:0')",0.0001,18,50,32,0.5,True,0.0,0
TernausNet16,21,0.2151668716879452,0.23969524990951482,"tensor(0.9885, device='cuda:0')","tensor(0.9905, device='cuda:0')","tensor(0.3045, device='cuda:0')","tensor(0.2862, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.9973, device='cuda:0')","tensor(0.5078, device='cuda:0')","tensor(0.4784, device='cuda:0')","tensor(0.2341, device='cuda:0')","tensor(0.2202, device='cuda:0')","tensor(0.3562, device='cuda:0')","tensor(0.3383, device='cuda:0')",0.00012000000000000002,18,50,32,0.5,True,0.0,0
TernausNet16,22,0.21500713364416812,0.2605479548722326,"tensor(0.9885, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.3139, device='cuda:0')","tensor(0.1994, device='cuda:0')","tensor(0.9967, device='cuda:0')","tensor(0.9983, device='cuda:0')","tensor(0.5067, device='cuda:0')","tensor(0.4945, device='cuda:0')","tensor(0.2408, device='cuda:0')","tensor(0.1676, device='cuda:0')","tensor(0.3646, device='cuda:0')","tensor(0.2676, device='cuda:0')",0.00014000000000000004,18,50,32,0.5,True,0.0,0
TernausNet16,23,0.21221149492664498,0.2515601076464314,"tensor(0.9886, device='cuda:0')","tensor(0.9904, device='cuda:0')","tensor(0.3084, device='cuda:0')","tensor(0.2600, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.9975, device='cuda:0')","tensor(0.5109, device='cuda:0')","tensor(0.4710, device='cuda:0')","tensor(0.2386, device='cuda:0')","tensor(0.2043, device='cuda:0')","tensor(0.3625, device='cuda:0')","tensor(0.3190, device='cuda:0')",0.00015999999999999999,18,50,32,0.5,True,0.0,0
TernausNet16,24,0.21394953006455877,0.24210626800040141,"tensor(0.9885, device='cuda:0')","tensor(0.9900, device='cuda:0')","tensor(0.3075, device='cuda:0')","tensor(0.3550, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.9960, device='cuda:0')","tensor(0.5087, device='cuda:0')","tensor(0.4495, device='cuda:0')","tensor(0.2369, device='cuda:0')","tensor(0.2508, device='cuda:0')","tensor(0.3603, device='cuda:0')","tensor(0.3800, device='cuda:0')",0.00017999999999999998,18,50,32,0.5,True,0.0,0
TernausNet16,25,0.21012345778841932,0.25951464644962396,"tensor(0.9886, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.2982, device='cuda:0')","tensor(0.2132, device='cuda:0')","tensor(0.9970, device='cuda:0')","tensor(0.9982, device='cuda:0')","tensor(0.5153, device='cuda:0')","tensor(0.4877, device='cuda:0')","tensor(0.2331, device='cuda:0')","tensor(0.1761, device='cuda:0')","tensor(0.3559, device='cuda:0')","tensor(0.2794, device='cuda:0')",0.0002,18,50,32,0.5,True,0.0,0
TernausNet16,26,0.21156857907271184,0.23149588369776744,"tensor(0.9885, device='cuda:0')","tensor(0.9905, device='cuda:0')","tensor(0.3173, device='cuda:0')","tensor(0.2626, device='cuda:0')","tensor(0.9967, device='cuda:0')","tensor(0.9976, device='cuda:0')","tensor(0.5074, device='cuda:0')","tensor(0.4869, device='cuda:0')","tensor(0.2421, device='cuda:0')","tensor(0.2090, device='cuda:0')","tensor(0.3673, device='cuda:0')","tensor(0.3268, device='cuda:0')",0.00017999999999999998,18,50,32,0.5,True,0.0,0
